ID,Catalog,Identification,Age 
1,JMZ,Sturnus vulgaris,Juvenille
2,JMZ,Sturnus vulgaris,Juvenille
3,JMZ,Sturnus vulgaris,Juvenille
4,JMZ,Sturnus vulgaris,Juvenille
5,JMZ,Sturnus vulgaris,Juvenille
6,JMZ,Sturnus vulgaris,Juvenille
7,JMZ,Sturnus vulgaris,Juvenille
8,JMZ,Sturnus vulgaris,Juvenille
9,JMZ,Sturnus vulgaris,Juvenille
10,JMZ,Sturnus vulgaris,Juvenille
11,JMZ,Sturnus vulgaris,Adult
12,JMZ,Sturnus vulgaris,Adult
13,JMZ,Sturnus vulgaris,Adult
14,JMZ,Sturnus vulgaris,Adult
15,JMZ,Sturnus vulgaris,Adult
16,JMZ,Sturnus vulgaris,Adult
17,JMZ,Sturnus vulgaris,Adult
18,JMZ,Sturnus vulgaris,Adult
19,JMZ,Sturnus vulgaris,Adult
20,JMZ,Sturnus vulgaris,Adult
21,JMZ,Sturnus vulgaris,Adult
22,JMZ,Sturnus vulgaris,Adult
23,JMZ,Sturnus vulgaris,Adult
24,JMZ,Sturnus vulgaris,Adult
25,JMZ,Sturnus vulgaris,Adult
26,JMZ,Sturnus vulgaris,Adult
27,JMZ,Sturnus vulgaris,Adult
28,JMZ,Sturnus vulgaris,Adult
29,JMZ,Sturnus vulgaris,Adult
30,JMZ,Sturnus vulgaris,Adult
31,JMZ,Sturnus vulgaris,Adult
32,JMZ,Sturnus vulgaris,Adult
33,JMZ,Sturnus vulgaris,Adult
34,JMZ,Sturnus vulgaris,Adult
35,JMZ,Sturnus vulgaris,Adult
36,JMZ,Sturnus vulgaris,Adult
37,JMZ,Sturnus vulgaris,Adult
38,JMZ,Sturnus vulgaris,Adult
39,JMZ,Sturnus vulgaris,Adult
40,JMZ,Sturnus vulgaris,Adult
